,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A3M7S814,A0A3M7S814_BRAPC,BpHYR1_001804,NA,NA,NA,BpHYR1_001804,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,Argonaute,UP000276133: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Gnathifera, Rotifera (rotifers), Eurotatoria, Monogononta, Pseudotrocha, Ploima, Brachionidae, Brachionus, Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)",NA
W0JW77,W0JW77_9EURY,HALDL1_03825,NA,NA,NA,HALDL1_03825,Halobacterium sp. DL1,751944,Stem cell self-renewal protein Piwi domain protein,UP000004595: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halobacterium, unclassified Halobacterium, Halobacterium sp. DL1",NA
B7K585,B7K585_RIPO1,PCC8801_3970,NA,NA,PCC8801_3970,NA,Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801)),41431,Stem cell self-renewal protein Piwi domain protein,UP000008204: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Aphanothecaceae, Rippkaea, Rippkaea orientalis, Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))",NA
F8D8G0,F8D8G0_HALXS,Halxa_0947,NA,NA,Halxa_0947,NA,Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6),797210,Stem cell self-renewal protein Piwi,UP000006794: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halopiger, Halopiger xanaduensis, Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)",NA
A0A343TL88,A0A343TL88_9EURY,AArcSl_2236,NA,NA,NA,AArcSl_2236,Halalkaliarchaeum desulfuricum,2055893,Uncharacterized protein containing piwi/argonaute domain,UP000263012: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacales incertae sedis, Halalkaliarchaeum, Halalkaliarchaeum desulfuricum",NA
A0A164ZA52,A0A164ZA52_XYLHT,L228DRAFT_254613,NA,NA,NA,L228DRAFT_254613,Xylona heveae (strain CBS 132557 / TC161),1328760,Piwi-domain-containing protein,UP000076632: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Xylonomycetes, Xylonales, Xylonaceae, Xylona, Xylona heveae, Xylona heveae (strain CBS 132557 / TC161)",NA
A0A383WDW5,A0A383WDW5_TETOB,BQ4739_LOCUS15214,NA,NA,NA,BQ4739_LOCUS15214,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus),3088,Uncharacterized protein,UP000256970: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes, Chlorophyceae, CS clade, Sphaeropleales, Scenedesmaceae, Tetradesmus, Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)",NA
Q54G64,Q54G64_DICDI,agnB DDB0220437,agnB,NA,NA,DDB0220437,Dictyostelium discoideum (Slime mold),44689,Argonaut-like protein,UP000002195: Chromosome 5,"cellular organisms, Eukaryota, Amoebozoa, Evosea, Eumycetozoa, Dictyostelia (dictyostelid cellular slime molds), Dictyosteliales, Dictyosteliaceae, Dictyostelium, Dictyostelium discoideum (Slime mold)",NA
S7WCF7,S7WCF7_SPRLO,SLOPH_136,NA,NA,NA,SLOPH_136,Spraguea lophii (strain 42_110) (Microsporidian parasite),1358809,Argonaute protein,UP000014978: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Apansporoblastina, Spraguidae, Spraguea, Spraguea lophii, Spraguea lophii (strain 42_110) (Microsporidian parasite)",NA
I0YVB2,I0YVB2_COCSC,COCSUDRAFT_56024,NA,NA,NA,COCSUDRAFT_56024,Coccomyxa subellipsoidea (strain C-169) (Green microalga),574566,Piwi-domain-containing protein,UP000007264: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes, Trebouxiophyceae, Trebouxiophyceae incertae sedis, Elliptochloris clade, Coccomyxa, Coccomyxa subellipsoidea, Coccomyxa subellipsoidea (strain C-169) (Green microalga)",NA
L0AJX6,L0AJX6_NATGS,Natgr_2597 C490_13551 CYV19_14835,NA,NA,Natgr_2597,C490_13551 CYV19_14835,Natronobacterium gregoryi (strain ATCC 43098 / DSM 3393 / CCM 3738 / CIP 104747 / IAM 13177 / JCM 8860 / NBRC 102187 / NCIMB 2189 / SP2),797304,Stem cell self-renewal protein Piwi domain protein (Uncharacterized protein containing piwi/argonaute domain),"UP000010468: Chromosome, UP000011613: Unassembled WGS sequence, UP000234484: Unassembled WGS sequence","cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronobacterium, Natronobacterium gregoryi, Natronobacterium gregoryi (strain ATCC 43098 / DSM 3393 / CCM 3738 / CIP 104747 / IAM 13177 / JCM 8860 / NBRC 102187 / NCIMB 2189 / SP2)",NA
R7QGN7,R7QGN7_CHOCR,CHC_T00008464001,NA,NA,NA,CHC_T00008464001,Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa),2769,Protein argonaute 3 (EIF2C 3),UP000012073: Unassembled WGS sequence,"cellular organisms, Eukaryota, Rhodophyta, Florideophyceae, Rhodymeniophycidae, Gigartinales, Gigartinaceae, Chondrus, Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)",NA
C1DZY0,C1DZY0_MICCC,MICPUN_113410,NA,NA,NA,MICPUN_113410,Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga),296587,Argonuate group protein,UP000002009: Chromosome 2,"cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Micromonas, Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)",NA
A0A2A5QS34,A0A2A5QS34_9EURY,CP557_03365,NA,NA,NA,CP557_03365,Natrinema ejinorense,373386,Stem cell self-renewal protein Piwi domain protein,UP000219689: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrinema, Natrinema ejinorense",NA
A0A343JEE2,A0A343JEE2_9CLOT,BEN51_10515,NA,NA,NA,BEN51_10515,Clostridium isatidis,182773,Piwi domain-containing protein,UP000264883: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium isatidis",NA
A0A3P3RGE5,A0A3P3RGE5_9EURY,EIK79_04685,NA,NA,NA,EIK79_04685,Halomarina oriensis,671145,Piwi domain-containing protein,UP000282322: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halomarina, Halomarina oriensis",NA
A0A329TBQ3,A0A329TBQ3_9EURY,DQW50_08150,NA,NA,NA,DQW50_08150,Halorubrum sp. 48-1-W,2249761,Piwi domain-containing protein,UP000251460: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, unclassified Halorubrum, Halorubrum sp. 48-1-W",NA
A0A285N2A8,A0A285N2A8_9EURY,SAMN06269185_0314,NA,NA,NA,SAMN06269185_0314,Natronoarchaeum philippinense,558529,Piwi domain-containing protein,UP000219453: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Natronoarchaeum, Natronoarchaeum philippinense",NA
A0A2C5Z0M1,A0A2C5Z0M1_9HYPO,CDD80_4302,NA,NA,NA,CDD80_4302,Ophiocordyceps camponoti-rufipedis,2004952,Uncharacterized protein,UP000226431: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Ophiocordycipitaceae, Ophiocordyceps, Ophiocordyceps camponoti-rufipedis",NA
A0CB11,A0CB11_PARTE,GSPATT00036761001,NA,NA,NA,GSPATT00036761001,Paramecium tetraurelia,5888,Uncharacterized protein,UP000000600: Partially assembled WGS sequence,"cellular organisms, Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Peniculida, Parameciidae, Paramecium, Paramecium tetraurelia",NA
A0A0W1S8B8,A0A0W1S8B8_9EURY,AUR66_16955,NA,NA,NA,AUR66_16955,Haloferax profundi,1544718,Piwi domain-containing protein,UP000053157: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloferax, Haloferax profundi",NA
R9ACY5,R9ACY5_WALI9,J056_001261,NA,NA,NA,J056_001261,Wallemia ichthyophaga (strain EXF-994 / CBS 113033),1299270,Protein argonaute-2,UP000014064: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Wallemiomycotina, Wallemiomycetes, Wallemiales, Wallemiaceae, Wallemia, Wallemia ichthyophaga, Wallemia ichthyophaga (strain EXF-994 / CBS 113033)",NA
D3BMP8,D3BMP8_POLPP,agnD PPL_12471,agnD,NA,NA,PPL_12471,Polysphondylium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Heterostelium pallidum),670386,Argonaut-like protein,UP000001396: Unassembled WGS sequence,"cellular organisms, Eukaryota, Amoebozoa, Evosea, Eumycetozoa, Dictyostelia (dictyostelid cellular slime molds), Acytosteliales, Acytosteliaceae, Heterostelium, Heterostelium album, Polysphondylium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Heterostelium pallidum)",NA
A0A1V4C8L7,A0A7D5C018_9EURY,B4589_004640,NA,NA,NA,B4589_004640,Halolamina sp. CBA1230,1853690,Stem cell self-renewal protein Piwi,UP000191169: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halolamina, unclassified Halolamina, Halolamina sp. CBA1230",NA
A0A1Z5TVE5,A0A1Z5TVE5_HORWE,BTJ68_00229,NA,NA,NA,BTJ68_00229,Hortaea werneckii EXF-2000,1157616,Uncharacterized protein,UP000194280: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Mycosphaerellales, Teratosphaeriaceae, Hortaea, Hortaea werneckii, Hortaea werneckii EXF-2000",NA
W7XD45,W7XD45_TETTS,TTHERM_000503900,NA,NA,NA,TTHERM_000503900,Tetrahymena thermophila (strain SB210),312017,Piwi-like Twi9p protein,UP000009168: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Hymenostomatida, Tetrahymenina, Tetrahymenidae, Tetrahymena, Tetrahymena thermophila, Tetrahymena thermophila (strain SB210)",NA
A0A1U7LLR0,A0A1U7LLR0_NEOID,NEOLI_004598,NA,NA,NA,NEOLI_004598,Neolecta irregularis (strain DAH-3),1198029,Protein argonaute,UP000186594: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Neolectomycetes, Neolectales, Neolectaceae, Neolecta, Neolecta irregularis, Neolecta irregularis (strain DAH-3)",NA
L9VRQ2,L9VRQ2_9EURY,C496_14421,NA,NA,NA,C496_14421,Natronorubrum tibetense GA33,1114856,Piwi domain-containing protein,UP000011599: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronorubrum, Natronorubrum tibetense, Natronorubrum tibetense GA33",NA
A0A4S2MWZ7,A0A4S2MWZ7_9PEZI,EX30DRAFT_269493,NA,NA,NA,EX30DRAFT_269493,Ascodesmis nigricans,341454,Piwi-domain-containing protein,UP000298138: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Ascodesmidaceae, Ascodesmis, Ascodesmis nigricans",NA
E4NRV1,E4NRV1_HALBP,Hbor_13050 C499_03978,NA,NA,Hbor_13050,C499_03978,Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3),469382,Uncharacterized protein containing piwi/argonaute domain,"UP000006663: Chromosome, UP000011585: Unassembled WGS sequence","cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum, Halogeometricum borinquense, Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)",NA
K1VVQ6,K1VVQ6_TRIAC,A1Q2_04791,NA,NA,NA,A1Q2_04791,Trichosporon asahii var. asahii (strain CBS 8904) (Yeast),1220162,Eukaryotic translation initiation factor 2C 2,UP000006757: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Trichosporonales, Trichosporonaceae, Trichosporon, Trichosporon asahii, Trichosporon asahii var. asahii, Trichosporon asahii var. asahii (strain CBS 8904) (Yeast)",NA
A0A158P1R9,A0A158P1R9_ATTCE,105627058,105627058,NA,NA,NA,Atta cephalotes (Leafcutter ant),12957,Uncharacterized protein,UP000005205: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Myrmicinae, Attini, Atta (leaf cutting ants), Atta cephalotes (Leafcutter ant)",NA
G7DVX0,G7DVX0_MIXOS,Mo01384 E5Q_01384,Mo01384,NA,NA,E5Q_01384,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103,Uncharacterized protein,UP000009131: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Mixiomycetes, Mixiales, Mixiaceae, Mixia, Mixia osmundae, Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)",NA
A0A1I6HGN0,A0A1I6HGN0_9EURY,SAMN04488124_2227,NA,NA,NA,SAMN04488124_2227,Halogeometricum limi,555875,Piwi domain-containing protein,UP000243250: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum, Halogeometricum limi",NA
V6R0U9,V6R0U9_GIBZE,FG00348.1 FGRAMPH1_01T00923,FG00348.1,NA,NA,FGRAMPH1_01T00923,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,Uncharacterized protein,UP000070720: Chromosome 1,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium sambucinum species complex, Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum), Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)",NA
A0A1I0NI68,A0A1I0NI68_9EURY,SAMN04487945_0901,NA,NA,NA,SAMN04487945_0901,Halobacterium jilantaiense,355548,Piwi domain-containing protein,UP000198518: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halobacterium, Halobacterium jilantaiense",NA
G4N9J3,G4N9J3_MAGO7,MGG_14873,NA,NA,NA,MGG_14873,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,Uncharacterized protein,UP000009058: Chromosome 4,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Magnaporthales, Pyriculariaceae, Pyricularia, Magnaporthe oryzae (Rice blast fungus) (Pyricularia oryzae), Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)",NA
E3KLI3,E3KLI3_PUCGT,PGTG_11327,NA,NA,NA,PGTG_11327,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459,Uncharacterized protein,UP000008783: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Pucciniomycetes, Pucciniales (rusts), Pucciniaceae, Puccinia, Puccinia graminis (Black stem rust fungus), Puccinia graminis f. sp. tritici, Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus)",NA
B7Q5I1,B7Q5I1_IXOSC,8036201 IscW_ISCW011373,8036201,NA,NA,IscW_ISCW011373,Ixodes scapularis (Black-legged tick) (Deer tick),6945,"Cniwi protein, putative (Cniwi protein, putative (Fragment)) (Fragment)",UP000001555: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida (ticks), Ixodoidea, Ixodidae (hardbacked ticks), Ixodinae, Ixodes, Ixodes scapularis (Black-legged tick) (Deer tick)",NA
A0A1E3QC61,A0A1E3QC61_LIPST,LIPSTDRAFT_1886,NA,NA,NA,LIPSTDRAFT_1886,Lipomyces starkeyi NRRL Y-11557,675824,Uncharacterized protein,UP000094385: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina (true yeasts), Saccharomycetes, Saccharomycetales, Lipomycetaceae, Lipomyces, Lipomyces starkeyi (Oleaginous yeast), Lipomyces starkeyi NRRL Y-11557",NA
D5GGK8,D5GGK8_TUBMM,GSTUM_00007541001,NA,NA,NA,GSTUM_00007541001,Tuber melanosporum (strain Mel28) (Perigord black truffle),656061,Uncharacterized protein,UP000006911: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Tuberaceae, Tuber (truffles), Tuber melanosporum (Perigord truffle), Tuber melanosporum (strain Mel28) (Perigord black truffle)",NA
S8ANP9,S8ANP9_DACHA,H072_1419,NA,NA,NA,H072_1419,Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum),1284197,Uncharacterized protein,UP000015100: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Orbiliomycetes, Orbiliales, Orbiliaceae, Dactylellina, Dactylellina haptotyla, Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum)",NA
A0A139AUH8,A0A139AUH8_GONPJ,M427DRAFT_52025,NA,NA,NA,M427DRAFT_52025,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416,Piwi-domain-containing protein,UP000070544: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Chytridiomycota, Chytridiomycota incertae sedis, Monoblepharidomycetes, Monoblepharidales, Gonapodyaceae, Gonapodya, Gonapodya prolifera (Aquatic fungus), Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera)",NA
L2GMR6,L2GMR6_VITCO,VICG_00747,NA,NA,NA,VICG_00747,Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum),993615,Uncharacterized protein,UP000011082: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Apansporoblastina, Nosematidae, Vittaforma, Vittaforma corneae, Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum)",NA
U4LBG4,U4LBG4_PYROM,PCON_03180,NA,NA,NA,PCON_03180,Pyronema omphalodes (strain CBS 100304) (Pyronema confluens),1076935,Similar to Protein argonaute acc. no. O74957,UP000018144: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Pyronemataceae, Pyronema, Pyronema omphalodes, Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)",NA
A0A177URI1,A0A177URI1_9BASI,A4X09_g3169,NA,NA,NA,A4X09_g3169,Tilletia walkeri,117179,Uncharacterized protein,UP000078113: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Exobasidiomycetes, Tilletiales, Tilletiaceae (bunts), Tilletia, Tilletia walkeri",NA
O74957,AGO1_SCHPO,ago1 csp9 SPCC736.11,ago1,csp9,NA,SPCC736.11,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,Protein argonaute (Cell cycle control protein ago1) (Eukaryotic translation initiation factor 2C 2-like protein ago1) (PAZ Piwi domain protein ago1) (Protein slicer) (RNA interference pathway protein ago1),UP000002485: Chromosome III,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces, Schizosaccharomyces pombe (Fission yeast), Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",NA
A0A3N4IGK1,A0A3N4IGK1_ASCIM,BJ508DRAFT_412505,NA,NA,NA,BJ508DRAFT_412505,Ascobolus immersus RN42,1160509,Piwi-domain-containing protein,UP000275078: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Ascobolaceae, Ascobolus, Ascobolus immersus, Ascobolus immersus RN42",NA
A6N7Y9,PIWL1_CHICK,PIWIL1,PIWIL1,NA,NA,NA,Gallus gallus (Chicken),9031,Piwi-like protein 1 (EC 3.1.26.-),UP000000539: Chromosome 15,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae (turkeys), Phasianinae, Gallus, Gallus gallus (Chicken)",NA
A0A0E9NDK5,A0A0E9NDK5_SAICN,G7K_2074-t1,NA,NA,NA,G7K_2074-t1,Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804),698492,Uncharacterized protein,UP000033140: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Taphrinomycotina incertae sedis, Saitoella, Saitoella complicata, Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804)",NA
T1KZ60,T1KZ60_TETUR,NA,NA,NA,NA,NA,Tetranychus urticae (Two-spotted spider mite),32264,Uncharacterized protein,UP000015104: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Eleutherengona, Raphignathae, Tetranychoidea, Tetranychidae (spider mites), Tetranychus, Tetranychus urticae (Two-spotted spider mite)",NA
A0A250WXN5,A0A250WXN5_9CHLO,CEUSTIGMA_g3038.t1,NA,NA,NA,CEUSTIGMA_g3038.t1,Chlamydomonas eustigma,1157962,Uncharacterized protein,UP000232323: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes, Chlorophyceae, CS clade, Chlamydomonadales, Chlamydomonadaceae, Chlamydomonas, Chlamydomonas eustigma",NA
A0A2G8JLH3,A0A2G8JLH3_STIJA,BSL78_26562,NA,NA,NA,BSL78_26562,Stichopus japonicus (Sea cucumber),307972,Putative seali,UP000230750: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Echinodermata, Eleutherozoa, Echinozoa, Holothuroidea (sea cucumbers), Aspidochirotacea, Aspidochirotida, Stichopodidae, Apostichopus, Stichopus japonicus (Sea cucumber)",NA
Q5KAT1,Q5KAT1_CRYNJ,CNJ00610,NA,NA,CNJ00610,NA,Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684,"Argonaute-like protein, putative",UP000002149: Chromosome 10,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales (jelly fungi), Cryptococcaceae, Cryptococcus, Cryptococcus neoformans species complex, Cryptococcus neoformans (Filobasidiella neoformans), Cryptococcus neoformans var. neoformans, Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)",NA
L2GUF2,L2GUF2_VAVCU,VCUG_01260,NA,NA,NA,VCUG_01260,Vavraia culicis (isolate floridensis) (Microsporidian parasite),948595,Piwi domain-containing protein,UP000011081: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Pansporoblastina, Pleistophoridae, Vavraia, Vavraia culicis, Vavraia culicis (isolate floridensis) (Microsporidian parasite)",NA
W2T741,W2T741_NECAM,NECAME_00512,NA,NA,NA,NECAME_00512,Necator americanus (Human hookworm),51031,Piwi domain protein,UP000053676: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Ancylostomatoidea, Ancylostomatidae, Bunostominae, Necator, Necator americanus (Human hookworm)",NA
A0A1W0E4B5,A0A1W0E4B5_9MICR,AGO2 EHP00_1153,AGO2,NA,NA,EHP00_1153,Enterocytozoon hepatopenaei,646526,AGO2,UP000192758: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Apansporoblastina, Enterocytozoonidae, Enterocytozoon, Enterocytozoon hepatopenaei",NA
